appr_20305.txt,5864.24,6041.44,5923.91,49.96,40.40
appr_20015020.txt,10469.24,10781.03,10611.85,96.41,5502.10
appr_30407.txt,6277.56,6875.40,6580.55,183.37,84.00
appr_608010.txt,1543.87,1615.34,1577.43,21.94,669.70
appr_50020050.txt,2043.31,2093.13,2073.58,16.82,23443.00
appr_10012010.txt,12534.24,12863.59,12687.36,127.06,1234.40
appr_20305.txt,5864.24,6041.44,5923.91,49.96,40.40
appr_20015020.txt,10469.24,10781.03,10611.85,96.41,5502.10
appr_30407.txt,6277.56,6875.40,6580.55,183.37,84.00
appr_608010.txt,1543.87,1615.34,1577.43,21.94,669.70
appr_50020050.txt,2043.31,2093.13,2073.58,16.82,23443.00
appr_10012010.txt,12534.24,12863.59,12687.36,127.06,1234.40
appr_20305.txt,5864.24,6041.44,5923.91,49.96,40.40
appr_20015020.txt,10469.24,10781.03,10611.85,96.41,5502.10
appr_30407.txt,6277.56,6875.40,6580.55,183.37,84.00
appr_608010.txt,1543.87,1615.34,1577.43,21.94,669.70
appr_50020050.txt,2043.31,2093.13,2073.58,16.82,23443.00
appr_10012010.txt,12534.24,12863.59,12687.36,127.06,1234.40
